SourceID,TargetID,Relationship Strenght
15370,3587,30%
15370,3685,30%
15370,3785,30%
15370,21301,30%
15370,21651,30%
15370,15734,30%
15370,10731,30%
12161,1619,30%
12161,21548,30%
6539,1619,30%
6539,6685,30%
5704,1622,30%
5704,5432,30%
5704,6373,30%
5704,6685,30%
3757,15381,30%
3757,2934,30%
3757,3581,30%
3757,3685,30%
3757,3716,30%
3757,20905,30%
3757,22235,30%
11083,1627,30%
11083,16710,30%
7598,1641,30%
7598,8957,30%
7598,9001,30%
7598,11787,30%
7598,11788,30%
7598,12088,30%
11966,1649,30%
11966,21614,30%
11966,22053,30%
11966,21623,30%
11966,20514,30%
11966,21324,30%
11966,15985,30%
11966,11639,30%
11966,16045,30%
3694,1655,30%
3694,3535,30%
3694,15324,30%
3694,15431,30%
3694,3826,30%
3694,21181,30%
3694,21036,30%
4349,1655,30%
4349,6787,30%
4349,30000,30%
9690,1655,30%
924,1660,30%
924,2027,30%
924,2123,30%
924,2153,30%
924,3975,30%
924,5734,30%
924,6168,30%
924,6469,30%
924,6770,30%
924,6776,30%
924,6872,30%
924,7174,30%
924,8268,30%
924,16989,30%
924,16334,30%
924,8912,30%
924,11200,30%
924,11202,30%
924,11399,30%
924,11418,30%
924,13008,30%
924,13086,30%
12613,6609,30%
6681,1686,30%
6681,2017,30%
6681,3976,30%
6681,16847,30%
6681,16781,30%
5180,1774,30%
5180,7848,30%
3487,1776,30%
3487,3776,30%
3487,21246,30%
3487,22205,30%
3487,21429,30%
3487,20545,30%
3487,20981,30%
3487,15472,30%
10094,1776,30%
5997,1781,30%
5997,5003,30%
5997,5577,30%
2046,14309,30%
2046,6430,30%
2046,6611,30%
2046,7374,30%
2046,7696,30%
2046,7885,30%
2046,18778,30%
2046,21788,30%
2046,17003,30%
11800,1828,30%
11157,1829,30%
11157,10920,30%
4791,1831,30%
4791,4947,30%
4791,7464,30%
3559,1833,30%
3559,3479,30%
3559,3490,30%
8900,1866,30%
4740,1883,30%
5677,1886,30%
5677,5010,30%
5677,5717,30%
5677,5884,30%
5677,6362,30%
5677,8237,30%
5677,9730,30%
5677,10814,30%
15154,1887,30%
15154,15156,30%
15154,3569,30%
15154,3628,30%
15154,15175,30%
9406,1887,30%
9406,4023,30%
9406,16082,30%
9020,1888,30%
7683,15350,30%
7683,2807,30%
7683,11100,30%
7683,11401,30%
7683,11438,30%
7683,11443,30%
7683,11444,30%
7683,11597,30%
7683,12007,30%
7257,1922,30%
7257,3878,30%
7257,12284,30%
1924,1924,30%
1924,1925,30%
1924,2096,30%
1924,3956,30%
1924,4002,30%
1924,6623,30%
1924,21887,30%
1924,21926,30%
1924,21838,30%
1924,21831,30%
1924,21711,30%
1924,13088,30%
11925,1926,30%
11925,21574,30%
11925,22052,30%
11925,21588,30%
11925,17927,30%
11925,11926,30%
11925,11945,30%
11925,15998,30%
2604,1926,30%
2604,10912,30%
2604,12180,30%
3450,1927,30%
3450,3450,30%
3450,17509,30%
7581,1927,30%
7581,6367,30%
7646,1927,30%
7646,6367,30%
7768,1927,30%
7768,6367,30%
7768,30000,30%
3738,1927,30%
3738,6367,30%
3738,21415,30%
12476,1927,30%
12476,6367,30%
6985,1927,30%
6985,6367,30%
7815,1927,30%
7815,3875,30%
7815,6367,30%
7815,6742,30%
7815,6842,30%
7815,7113,30%
7815,7283,30%
7815,7513,30%
7815,7662,30%
7815,7736,30%
7815,30000,30%
4585,1952,30%
4585,2235,30%
4585,5393,30%
4585,16776,30%
4585,17070,30%
1942,1954,30%
1942,12272,30%
12133,1983,30%
12133,21549,30%
12133,15783,30%
608,1988,30%
7047,1995,30%
7047,4188,30%
7047,5186,30%
7047,7079,30%
7047,7848,30%
2075,2014,30%
2075,6367,30%
12282,2017,30%
12282,16644,30%
12282,17042,30%
12282,17043,30%
1919,2017,30%
419,2025,30%
419,6754,30%
419,6765,30%
419,7728,30%
419,11840,30%
419,30000,30%
7248,2025,30%
7248,7848,30%
7248,17298,30%
7248,17356,30%
